                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0562,                 3.5062,                 4.0859,                 0.0033,                  0.925,                0.02349,                0.00551,                 3.3766,                 3.9083,                 4.1039,                0.00044,                0.00044,                0.00044
                      1,                 2.7579,                 3.2237,                 3.7744,                0.01137,                      1,                0.18692,                0.04311,                 2.3979,                  4.035,                 3.1343,             0.00088218,             0.00088218,             0.00088218
                      2,                 2.5273,                 3.0311,                 3.4296,                0.05772,                0.96786,                 0.0667,                0.02299,                 2.1119,                 9.8303,                 2.5188,              0.0013061,              0.0013061,              0.0013061
                      3,                 2.4573,                 2.9616,                 3.1697,                0.00017,                   0.05,                0.00012,                  1e-05,                 2.3409,                 5.4457,                 5.4182,              0.0017119,              0.0017119,              0.0017119
                      4,                 2.3107,                 2.7388,                 2.9165,                0.06642,                  0.875,                0.06897,                0.02314,                 2.4503,                 7.0426,                 3.7139,              0.0018416,              0.0018416,              0.0018416
                      5,                 2.2265,                 2.6958,                 2.7855,                0.11195,                    0.8,                0.13339,                0.06527,                 2.0735,                 25.427,                 3.1324,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.2494,                 2.4931,                 2.7413,                0.03707,                    0.8,                0.03787,                0.01887,                 2.1769,                 48.179,                 2.9403,               0.001802,               0.001802,               0.001802
                      7,                 2.1724,                 2.4556,                 2.7006,                0.52901,                   0.25,                0.29323,                0.14317,                 2.5525,                 2.8744,                 3.1878,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.0421,                 2.2358,                 2.5395,                0.04556,                  0.025,                0.02687,                0.00766,                 3.0029,                 3.6019,                 3.7063,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9396,                 2.0502,                   2.46,                0.68431,                  0.875,                0.75967,                0.43172,                 1.5036,                 2.0567,                   1.81,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8615,                 1.9894,                 2.3806,                0.66213,                    0.6,                0.62498,                0.33873,                 1.4772,                 2.5274,                 1.8466,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.786,                 1.8714,                 2.2369,                0.53565,                0.92285,                 0.6723,                0.40943,                 1.2743,                 1.5866,                 1.6716,               0.001604,               0.001604,               0.001604
